Be,4.0,12.0,3.0,4.635
Be,4.0,13.0,3.0,4.68
Be,4.0,14.0,3.0,4.717
Be,4.0,5.0,4.0,1.001
Be,4.0,6.0,4.0,1.545
Be,4.0,7.0,4.0,1.873
Be,4.0,8.0,4.0,2.086
Be,4.0,9.0,4.0,2.232
Be,4.0,10.0,4.0,2.336
Be,4.0,11.0,4.0,2.413
Be,4.0,12.0,4.0,2.472
Be,4.0,13.0,4.0,2.518
Be,4.0,14.0,4.0,2.554
Be,4.0,6.0,5.0,0.544
Be,4.0,7.0,5.0,0.872
Be,4.0,8.0,5.0,1.085
Be,4.0,9.0,5.0,1.23
Be,4.0,10.0,5.0,1.335
Be,4.0,11.0,5.0,1.412
Be,4.0,12.0,5.0,1.471
Be,4.0,13.0,5.0,1.516
Be,4.0,14.0,5.0,1.553
Be,4.0,7.0,6.0,0.328
Be,4.0,8.0,6.0,0.541
Be,4.0,9.0,6.0,0.687
Be,4.0,10.0,6.0,0.791
Be,4.0,11.0,6.0,0.868
Be,4.0,12.0,6.0,0.927
Be,4.0,13.0,6.0,0.973
Be,4.0,14.0,6.0,1.009
Be,4.0,8.0,7.0,0.213
Be,4.0,9.0,7.0,0.359
Be,4.0,10.0,7.0,0.463
Be,4.0,11.0,7.0,0.54
Be,4.0,12.0,7.0,0.599
Be,4.0,13.0,7.0,0.645
Be,4.0,14.0,7.0,0.681
Be,4.0,9.0,8.0,0.146
Be,4.0,10.0,8.0,0.25
Be,4.0,11.0,8.0,0.327
Be,4.0,12.0,8.0,0.386
Be,4.0,13.0,8.0,0.432
Be,4.0,14.0,8.0,0.468
Be,4.0,10.0,9.0,0.104
Be,4.0,11.0,9.0,0.182
Be,4.0,12.0,9.0,0.24
Be,4.0,13.0,9.0,0.286
Be,4.0,14.0,9.0,0.322
Be,4.0,11.0,10.0,0.077
Be,4.0,12.0,10.0,0.136
Be,4.0,13.0,10.0,0.182
Be,4.0,14.0,10.0,0.218
Be,4.0,12.0,11.0,0.059
Be,4.0,13.0,11.0,0.104
Be,4.0,14.0,11.0,0.141
Be,4.0,13.0,12.0,0.046
Be,4.0,14.0,12.0,0.082
Be,4.0,14.0,13.0,0.036
B,5.0,2.0,1.0,52.27
B,5.0,3.0,1.0,61.946
B,5.0,4.0,1.0,65.333
B,5.0,5.0,1.0,66.9
B,5.0,6.0,1.0,67.752
B,5.0,7.0,1.0,68.265
B,5.0,8.0,1.0,68.599
B,5.0,9.0,1.0,68.827
B,5.0,10.0,1.0,68.991
B,5.0,11.0,1.0,69.111
B,5.0,12.0,1.0,69.203
B,5.0,13.0,1.0,69.275
B,5.0,14.0,1.0,69.332
B,5.0,3.0,2.0,9.677
B,5.0,4.0,2.0,13.063
B,5.0,5.0,2.0,14.631
