#MJD GSC_ch1 GSC_ch1_e GSC_ch2 GSC_ch2_e GSC_ch3 GSC_ch3_e BAT_ch1 BAT_ch1_e	BAT_ch2 BAT_ch2_e BAT_ch3 BAT_ch3_e BAT_ch4 BAT_ch4_e HR HR_e
58220.5  0.026 0.006  0.014 0.004  0.011 0.005 		 0.000146 0.000092  0.000076 0.000082  0.000030 0.000063 -0.000025 0.000044 		   0.001145    0.002426
58221.5  0.022 0.006  0.017 0.005 -0.002 0.006 		 0.000296 0.000122  0.000035 0.000105  0.000008 0.000080  0.000008 0.000052 		   0.000365    0.003629
58222.5  0.022 0.006  0.010 0.004  0.004 0.006 		 0.000040 0.000125  0.000056 0.000114  0.000061 0.000086  0.000015 0.000061 		   0.002731    0.003922
58223.5  0.027 0.006  0.031 0.005  0.009 0.006 		 0.000465 0.000133  0.000522 0.000126  0.000227 0.000098 -0.000105 0.000068 		   0.008435    0.004165
58224.5  0.026 0.006  0.017 0.005 -0.002 0.006 		 0.000484 0.000160  0.000527 0.000143  0.000233 0.000108  0.000057 0.000064 		   0.008795    0.004558
58225.5  0.031 0.007  0.017 0.005 -0.007 0.006 		 0.000034 0.000143  0.000125 0.000130  0.000338 0.000098  0.000049 0.000066 		   0.011018    0.004108
58226.5  0.041 0.008  0.030 0.005  0.017 0.007 		 0.000140 0.000096  0.000076 0.000089  0.000027 0.000069  0.000039 0.000049 		   0.000671    0.001711
58227.5  0.018 0.007  0.024 0.006  0.008 0.008 		 0.000060 0.000167  0.000279 0.000143  0.000175 0.000111  0.000069 0.000078 		   0.009610    0.007186
58228.5  0.033 0.008  0.019 0.006  0.009 0.008 		-0.000535 0.000114 -0.000499 0.000105 -0.000131 0.000081 -0.000035 0.000054 		  -0.003970   -0.002651
58229.5  0.029 0.011  0.027 0.008  0.010 0.011 		-0.000377 0.000126  0.000052 0.000112 -0.000106 0.000086  0.000107 0.000057 		  -0.003609   -0.003192
58230.5  0.042 0.012  0.024 0.008  0.019 0.011 		 0.000567 0.000152  0.000146 0.000138  0.000167 0.000103  0.000173 0.000061 		   0.003997    0.002714
58231.5  0.033 0.015  0.048 0.012  0.014 0.015 		 0.000102 0.000101  0.000102 0.000094  0.000118 0.000075  0.000028 0.000053 		   0.003530    0.002730
58232.5  0.047 0.017  0.032 0.015  0.051 0.019 		 0.000229 0.000077  0.000131 0.000072  0.000107 0.000056  0.000092 0.000039 		   0.002268    0.001453
58233.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000221 0.000210  0.000277 0.000191 -0.000093 0.000148 -0.000289 0.000108 		-100.000000    0.000000
58234.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000680 0.000109 -0.000132 0.000096 -0.000075 0.000075 -0.000041 0.000051 		-100.000000    0.000000
58235.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000515 0.000105 -0.000542 0.000091 -0.000050 0.000069 -0.000017 0.000048 		-100.000000    0.000000
58236.5  0.039 0.018  0.029 0.014  0.028 0.017 		 0.000235 0.000124 -0.000044 0.000111  0.000133 0.000085 -0.000064 0.000063 		   0.003416    0.002665
58237.5  0.035 0.015  0.056 0.015  0.016 0.014 		 0.000597 0.000317  0.000073 0.000286  0.000005 0.000211  0.000038 0.000129 		   0.000136    0.005993
58238.5  0.024 0.015  0.024 0.012  0.042 0.015 		 0.000143 0.000103 -0.000354 0.000094 -0.000040 0.000072  0.000013 0.000048 		  -0.001623   -0.003114
58239.5  0.027 0.011  0.034 0.009  0.013 0.010 		 0.000273 0.000139  0.000248 0.000125  0.000060 0.000097  0.000035 0.000065 		   0.002276    0.003775
58240.5  0.042 0.011  0.036 0.010  0.018 0.010 		-0.000089 0.000155 -0.000175 0.000137  0.000026 0.000107 -0.000095 0.000072 		   0.000613    0.002535
58241.5  0.030 0.010  0.033 0.009  0.021 0.010 		 0.000299 0.000174  0.000472 0.000152  0.000130 0.000117  0.000062 0.000079 		   0.004325    0.004157
58242.5  0.029 0.008  0.024 0.007  0.018 0.007 		 0.000157 0.000334 -0.000072 0.000263  0.000278 0.000203 -0.000173 0.000111 		   0.009502    0.007362
58243.5  0.029 0.007  0.043 0.006  0.019 0.007 		-0.000645 0.000253 -0.000211 0.000215 -0.000151 0.000161  0.000045 0.000099 		  -0.005151   -0.005632
58244.5  0.044 0.008  0.036 0.006  0.016 0.007 		 0.000128 0.000108 -0.000012 0.000098 -0.000065 0.000077 -0.000007 0.000056 		  -0.001482   -0.001782
58245.5  0.065 0.009  0.044 0.006  0.021 0.007 		-0.000231 0.000132  0.000144 0.000115  0.000077 0.000090 -0.000003 0.000061 		   0.001173    0.001392
58246.5  0.061 0.021  0.052 0.018  0.043 0.019 		 0.000483 0.000124  0.000188 0.000110  0.000062 0.000086  0.000045 0.000061 		   0.001011    0.001448
58247.5  0.059 0.009  0.043 0.006  0.013 0.007 		 0.000250 0.000150  0.000439 0.000133  0.000414 0.000102  0.000057 0.000072 		   0.006951    0.002008
58248.5  0.066 0.009  0.029 0.006  0.001 0.006 		-0.000047 0.000128  0.000208 0.000116  0.000169 0.000089 -0.000040 0.000064 		   0.002567    0.001396
58249.5  0.060 0.009  0.044 0.006  0.013 0.006 		 0.000043 0.000215  0.000042 0.000182  0.000004 0.000146 -0.000092 0.000104 		   0.000059    0.002437
58250.5  0.039 0.007  0.019 0.005  0.016 0.006 		 0.000099 0.000142  0.000053 0.000119  0.000022 0.000092 -0.000132 0.000064 		   0.000562    0.002333
58251.5  0.076 0.008  0.040 0.006  0.014 0.006 		-0.000024 0.000156 -0.000115 0.000137 -0.000143 0.000108  0.000012 0.000077 		  -0.001889   -0.001437
58252.5  0.053 0.007  0.039 0.005  0.018 0.006 		 0.000356 0.000102  0.000312 0.000090  0.000081 0.000070  0.000051 0.000048 		   0.001518    0.001323
58253.5  0.044 0.007  0.024 0.005  0.017 0.006 		 0.000306 0.000132  0.000120 0.000114  0.000206 0.000090 -0.000012 0.000066 		   0.004692    0.002186
58254.5  0.047 0.007  0.033 0.005  0.010 0.006 		 0.000012 0.000099  0.000062 0.000090  0.000057 0.000071  0.000087 0.000053 		   0.001199    0.001524
58255.5  0.042 0.011  0.026 0.008  0.015 0.010 		-0.000090 0.000117 -0.000169 0.000108 -0.000004 0.000085 -0.000060 0.000064 		  -0.000084   -0.002032
58256.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000083 0.000153  0.000150 0.000134  0.000020 0.000105 -0.000057 0.000073 		-100.000000    0.000000
58257.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000173 0.000267  0.000357 0.000248  0.000026 0.000191 -0.000201 0.000138 		-100.000000    0.000000
58258.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000689 0.000197  0.000287 0.000171  0.000222 0.000133 -0.000023 0.000096 		-100.000000    0.000000
58259.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000642 0.000186 -0.000153 0.000164  0.000052 0.000126 -0.000014 0.000088 		-100.000000    0.000000
58260.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000074 0.000135 -0.000024 0.000122  0.000156 0.000096 -0.000065 0.000070 		-100.000000    0.000000
58261.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000318 0.000165 -0.000055 0.000146  0.000242 0.000115  0.000050 0.000086 		-100.000000    0.000000
58262.5  0.013 0.007  0.013 0.006  0.009 0.007 		 0.000307 0.000162 -0.000231 0.000148  0.000229 0.000116  0.000188 0.000083 		   0.017981    0.013364
58263.5  0.007 0.005  0.011 0.005  0.014 0.006 		-0.000033 0.000136  0.000448 0.000120  0.000207 0.000092 -0.000013 0.000063 		   0.029554    0.026187
58264.5 -0.002 0.006  0.021 0.006  0.018 0.007 		-0.000567 0.000227  0.000367 0.000213 -0.000139 0.000165 -0.000095 0.000120 		   0.063089    0.182936
58265.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000357 0.000221  0.000322 0.000195  0.000046 0.000153 -0.000206 0.000110 		-100.000000    0.000000
58266.5  0.020 0.012  0.017 0.009  0.015 0.012 		-0.000464 0.000329  0.000660 0.000251  0.000543 0.000210 -0.000300 0.000158 		   0.027332    0.019230
58267.5  0.024 0.009  0.013 0.007 -0.008 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58268.5  0.004 0.006  0.021 0.005 -0.001 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58269.5  0.025 0.006  0.020 0.005 -0.001 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58270.5  0.026 0.007  0.020 0.005  0.001 0.006 		-0.000630 0.000264  0.000241 0.000209 -0.000074 0.000170 -0.000096 0.000136 		  -0.002843   -0.006538
58271.5  0.029 0.013  0.012 0.009 -0.018 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58272.5  0.020 0.006  0.021 0.005 -0.014 0.006 		-0.000069 0.000148 -0.000004 0.000136  0.000193 0.000108  0.000008 0.000075 		   0.009540    0.006086
58273.5  0.024 0.006  0.015 0.005  0.004 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58274.5  0.024 0.006  0.014 0.005  0.004 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58275.5  0.025 0.007  0.010 0.005  0.002 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58276.5  0.014 0.005  0.012 0.004  0.008 0.005 		-0.002825 0.001426 -0.001275 0.001388 -0.001081 0.001078 -0.000274 0.000582 		  -0.074885   -0.079802
58277.5  0.012 0.006  0.006 0.005  0.004 0.006 		-0.000101 0.000169  0.000090 0.000159  0.000111 0.000125 -0.000067 0.000093 		   0.009175    0.011390
58278.5  0.040 0.008  0.009 0.005  0.012 0.007 		 0.000158 0.000242  0.000332 0.000232  0.000083 0.000179  0.000064 0.000123 		   0.002089    0.004516
58279.5  0.020 0.008  0.012 0.006  0.017 0.008 		 0.000067 0.000170 -0.000236 0.000153 -0.000332 0.000121  0.000017 0.000086 		  -0.017016   -0.009320
58280.5  0.011 0.006  0.022 0.005  0.015 0.006 		-0.000074 0.000136  0.000069 0.000124  0.000218 0.000099 -0.000020 0.000068 		   0.019190    0.013650
58281.5  0.022 0.007  0.024 0.005  0.007 0.007 		 0.000170 0.000161  0.000225 0.000138  0.000142 0.000109 -0.000030 0.000080 		   0.006366    0.005262
58282.5  0.019 0.006  0.022 0.005 -0.000 0.006 		 0.000315 0.000164  0.000021 0.000131  0.000227 0.000106  0.000028 0.000081 		   0.012092    0.006892
58283.5  0.015 0.007  0.030 0.006  0.006 0.007 		-0.000052 0.000465  0.000792 0.000387 -0.000509 0.000297 -0.000059 0.000184 		  -0.033009   -0.024472
58284.5  0.021 0.015  0.020 0.012  0.024 0.016 		-0.000066 0.000090  0.000155 0.000081 -0.000018 0.000064  0.000091 0.000050 		  -0.000846   -0.003086
58285.5  0.022 0.009  0.032 0.007  0.018 0.009 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58286.5  0.023 0.007  0.019 0.005  0.016 0.006 		 0.000869 0.000196  0.000073 0.000174 -0.000025 0.000135 -0.000070 0.000095 		  -0.001110   -0.005899
58287.5  0.018 0.006  0.018 0.005  0.007 0.006 		 0.000467 0.000148  0.000102 0.000126  0.000174 0.000097 -0.000021 0.000065 		   0.009823    0.006521
58288.5  0.034 0.007  0.018 0.005  0.006 0.006 		 0.000537 0.000107  0.000109 0.000092 -0.000133 0.000072  0.000056 0.000054 		  -0.003971   -0.002280
58289.5  0.042 0.007  0.018 0.005  0.009 0.005 		 0.000212 0.000254 -0.000502 0.000218 -0.000170 0.000166 -0.000065 0.000106 		  -0.004054   -0.004002
58290.5  0.062 0.008  0.056 0.006  0.012 0.006 		 0.000740 0.000147  0.000054 0.000128  0.000013 0.000101  0.000045 0.000074 		   0.000211    0.001620
58291.5  0.080 0.008  0.093 0.006  0.020 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58292.5  0.078 0.008  0.090 0.006  0.022 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58293.5  0.053 0.007  0.042 0.005  0.012 0.006 		 0.001093 0.000190  0.000194 0.000156  0.000092 0.000125  0.000153 0.000095 		   0.001727    0.002356
58294.5  0.062 0.008  0.078 0.006  0.016 0.006 		 0.000425 0.000214 -0.000260 0.000179 -0.000252 0.000144 -0.000139 0.000101 		  -0.004048   -0.002358
58295.5  0.044 0.007  0.049 0.006  0.025 0.006 		 0.001006 0.000507 -0.000075 0.000400  0.000098 0.000302 -0.000103 0.000195 		   0.002224    0.006847
58296.5  0.081 0.009  0.099 0.007  0.018 0.007 		 0.000592 0.000147  0.000012 0.000125  0.000125 0.000099 -0.000023 0.000075 		   0.001544    0.001237
58297.5  0.056 0.008  0.084 0.007  0.010 0.007 		 0.002198 0.000255  0.000015 0.000202  0.000017 0.000158  0.000176 0.000124 		   0.000296    0.002804
58298.5  0.070 0.009  0.072 0.007  0.013 0.007 		 0.001206 0.000231  0.000591 0.000198  0.000069 0.000150  0.000348 0.000111 		   0.000994    0.002168
58299.5  0.059 0.009  0.070 0.007  0.011 0.007 		 0.000422 0.000295 -0.000015 0.000252 -0.000160 0.000195  0.000151 0.000150 		  -0.002722   -0.003343
58300.5  0.063 0.010  0.073 0.008  0.011 0.008 		 0.000407 0.000148  0.000065 0.000137 -0.000074 0.000108  0.000151 0.000078 		  -0.001182   -0.001722
58301.5  0.054 0.013  0.076 0.010  0.014 0.011 		 0.000831 0.000191  0.000078 0.000162  0.000224 0.000123 -0.000024 0.000074 		   0.004117    0.002472
58302.5  0.059 0.013  0.097 0.011  0.011 0.010 		 0.000168 0.000124  0.000071 0.000103  0.000001 0.000081 -0.000014 0.000062 		   0.000017    0.001364
58303.5  0.049 0.019  0.079 0.014  0.025 0.015 		 0.000034 0.000147 -0.000192 0.000125  0.000003 0.000096 -0.000097 0.000068 		   0.000065    0.001940
58304.5  0.045 0.017  0.060 0.016  0.012 0.019 		-0.000078 0.000273 -0.000222 0.000256  0.000386 0.000187 -0.000133 0.000138 		   0.008548    0.005259
58305.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000529 0.000139 -0.000010 0.000117  0.000112 0.000090  0.000041 0.000065 		-100.000000    0.000000
58306.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000218 0.000148  0.000035 0.000127 -0.000097 0.000099  0.000052 0.000075 		-100.000000    0.000000
58307.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.002603 0.000945  0.000743 0.000721  0.000271 0.000553 -0.000039 0.000350 		-100.000000    0.000000
58308.5  0.076 0.022  0.038 0.015  0.011 0.016 		-0.000867 0.000207 -0.000591 0.000164  0.000120 0.000125  0.000031 0.000087 		   0.001574    0.001695
58309.5  0.093 0.022  0.055 0.017  0.015 0.017 		-0.000555 0.000118 -0.000025 0.000098 -0.000008 0.000077  0.000005 0.000057 		  -0.000082   -0.000834
58310.5  0.003 0.013  0.011 0.010  0.022 0.014 		 0.000272 0.000092  0.000082 0.000080 -0.000037 0.000062 -0.000016 0.000043 		  -0.012636   -0.061417
58311.5  0.054 0.013  0.023 0.009  0.029 0.011 		-0.000028 0.000165 -0.000165 0.000137  0.000093 0.000105 -0.000009 0.000075 		   0.001713    0.001978
58312.5  0.021 0.014  0.029 0.010  0.026 0.012 		-0.000632 0.000098 -0.000005 0.000083  0.000045 0.000066 -0.000024 0.000049 		   0.002184    0.003489
58313.5  0.051 0.013  0.035 0.009  0.017 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58314.5  0.024 0.010  0.054 0.009  0.008 0.009 		 0.000154 0.000078 -0.000007 0.000069 -0.000085 0.000055  0.000018 0.000041 		  -0.003505   -0.002651
58315.5  0.022 0.007  0.019 0.006  0.009 0.007 		-0.000330 0.000137  0.000015 0.000115 -0.000134 0.000091 -0.000011 0.000061 		  -0.006029   -0.004508
58316.5  0.024 0.007  0.018 0.005  0.002 0.006 		 0.000094 0.000101  0.000136 0.000088  0.000052 0.000069  0.000065 0.000053 		   0.002134    0.002906
58317.5  0.014 0.006  0.018 0.006  0.009 0.007 		 0.000312 0.000125  0.000115 0.000106  0.000101 0.000083 -0.000042 0.000061 		   0.007194    0.006753
58318.5  0.019 0.011  0.024 0.008  0.015 0.010 		 0.000222 0.000113  0.000063 0.000093 -0.000041 0.000073 -0.000007 0.000052 		  -0.002099   -0.003920
58319.5  0.024 0.008  0.024 0.007  0.016 0.008 		 0.000080 0.000080  0.000041 0.000068  0.000047 0.000053 -0.000041 0.000040 		   0.002009    0.002344
58320.5  0.013 0.007  0.005 0.006  0.015 0.008 		-0.000225 0.000140 -0.000206 0.000120  0.000059 0.000096 -0.000119 0.000073 		   0.004406    0.007543
58321.5  0.018 0.007  0.019 0.006  0.004 0.006 		 0.000102 0.000178  0.000309 0.000145  0.000318 0.000114  0.000150 0.000083 		   0.017251    0.009049
58322.5  0.008 0.006  0.009 0.005 -0.001 0.005 		-0.000361 0.000424  0.000044 0.000378 -0.000129 0.000305 -0.000029 0.000234 		  -0.016030   -0.039372
58323.5  0.017 0.006  0.013 0.005  0.020 0.006 		-0.000073 0.000100  0.000189 0.000089  0.000115 0.000070 -0.000055 0.000051 		   0.006939    0.005021
58324.5  0.034 0.013  0.019 0.009 -0.006 0.010 		-0.000623 0.000098  0.000157 0.000085  0.000041 0.000069  0.000062 0.000054 		   0.001187    0.002057
58325.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000557 0.000477  0.000167 0.000364 -0.000286 0.000268 -0.000104 0.000149 		-100.000000    0.000000
58326.5  0.041 0.012  0.033 0.009  0.026 0.010 		 0.000232 0.000118 -0.000010 0.000103 -0.000024 0.000085 -0.000044 0.000067 		  -0.000583   -0.002111
58327.5  0.033 0.016  0.018 0.012  0.024 0.014 		-0.000354 0.000097 -0.000305 0.000086  0.000038 0.000070 -0.000067 0.000057 		   0.001147    0.002183
58328.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000683 0.000123 -0.000162 0.000104 -0.000016 0.000082 -0.000064 0.000061 		-100.000000    0.000000
58329.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000176 0.000092 -0.000121 0.000082 -0.000079 0.000064 -0.000036 0.000046 		-100.000000    0.000000
58330.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000280 0.000080  0.000031 0.000068 -0.000062 0.000055 -0.000013 0.000042 		-100.000000    0.000000
58331.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000209 0.000105  0.000278 0.000095 -0.000039 0.000073  0.000005 0.000047 		-100.000000    0.000000
58332.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000196 0.000188  0.000256 0.000152 -0.000133 0.000116  0.000040 0.000071 		-100.000000    0.000000
58333.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000209 0.000093  0.000177 0.000083 -0.000116 0.000065  0.000079 0.000046 		-100.000000    0.000000
58334.5  0.003 0.005  0.017 0.005  0.012 0.006 		 0.000134 0.000091  0.000018 0.000079  0.000062 0.000061  0.000006 0.000042 		   0.023124    0.052011
58335.5  0.000 0.006  0.004 0.005  0.003 0.006 		-0.000175 0.000155  0.000353 0.000131  0.000095 0.000099  0.000087 0.000058 		   0.226943    3.066683
58336.5  0.004 0.005  0.004 0.004 -0.001 0.005 		 0.000412 0.000109  0.000235 0.000092 -0.000004 0.000070  0.000011 0.000044 		  -0.000998   -0.016247
58337.5 -0.004 0.005 -0.001 0.004  0.009 0.005 		-0.000163 0.000135  0.000223 0.000116 -0.000095 0.000093 -0.000061 0.000058 		   0.025083    0.041409
58338.5  0.011 0.005  0.016 0.005  0.004 0.005 		 0.000258 0.000115 -0.000185 0.000097 -0.000123 0.000076  0.000028 0.000057 		  -0.011167   -0.008733
58339.5  0.025 0.006  0.018 0.005 -0.012 0.005 		-0.000018 0.000134 -0.000020 0.000120 -0.000015 0.000093 -0.000020 0.000063 		  -0.000580   -0.003725
58340.5  0.014 0.006  0.022 0.005 -0.003 0.005 		 0.000404 0.000089 -0.000139 0.000079 -0.000066 0.000062  0.000019 0.000045 		  -0.004549   -0.004636
58341.5  0.027 0.007  0.019 0.005  0.002 0.005 		-0.000295 0.000146  0.000201 0.000130 -0.000179 0.000100 -0.000085 0.000059 		  -0.006660   -0.004085
58342.5  0.029 0.006  0.008 0.004  0.008 0.006 		-0.000139 0.000125 -0.000097 0.000108  0.000144 0.000082  0.000054 0.000051 		   0.004967    0.003031
58343.5  0.031 0.011  0.011 0.008  0.015 0.009 		-0.000585 0.000167 -0.000043 0.000146 -0.000136 0.000111  0.000010 0.000069 		  -0.004432   -0.003951
58344.5  0.043 0.008  0.035 0.006  0.008 0.006 		-0.000093 0.000094  0.000098 0.000083  0.000064 0.000064  0.000021 0.000046 		   0.001512    0.001533
58345.5  0.030 0.006  0.031 0.005  0.011 0.006 		 0.000853 0.000213 -0.000006 0.000180  0.000211 0.000135  0.000091 0.000074 		   0.006999    0.004687
58346.5  0.039 0.007  0.030 0.005  0.006 0.006 		-0.000280 0.000108  0.000018 0.000091 -0.000044 0.000070  0.000012 0.000047 		  -0.001136   -0.001810
58347.5  0.035 0.007  0.032 0.006  0.008 0.006 		-0.001037 0.000146 -0.000094 0.000118 -0.000050 0.000093  0.000005 0.000064 		  -0.001433   -0.002673
58348.5  0.042 0.008  0.022 0.005  0.012 0.006 		-0.000011 0.000157  0.000061 0.000133 -0.000094 0.000105 -0.000077 0.000082 		  -0.002232   -0.002519
58349.5  0.036 0.008  0.022 0.006  0.008 0.007 		-0.000030 0.000161  0.000288 0.000142  0.000014 0.000108  0.000044 0.000067 		   0.000402    0.003017
58350.5  0.030 0.009  0.013 0.007  0.018 0.009 		-0.000555 0.000247  0.000218 0.000218  0.000071 0.000173 -0.000099 0.000123 		   0.002340    0.005738
58351.5  0.034 0.009  0.018 0.006  0.030 0.008 		 0.000634 0.000122  0.000074 0.000104  0.000150 0.000081 -0.000011 0.000061 		   0.004359    0.002597
58352.5  0.005 0.008  0.015 0.007  0.006 0.009 		 0.000036 0.000106  0.000088 0.000092  0.000022 0.000071  0.000010 0.000048 		   0.004392    0.016005
58353.5  0.037 0.007  0.026 0.006  0.011 0.007 		 0.000340 0.000105  0.000177 0.000089 -0.000047 0.000071 -0.000035 0.000054 		  -0.001264   -0.001909
58354.5  0.015 0.006  0.034 0.005  0.014 0.007 		 0.000559 0.000106 -0.000013 0.000090  0.000110 0.000072  0.000046 0.000057 		   0.007292    0.005674
58355.5  0.015 0.007  0.025 0.005  0.007 0.007 		 0.000081 0.000100  0.000113 0.000078 -0.000140 0.000060  0.000050 0.000044 		  -0.009387   -0.005881
58356.5  0.007 0.007  0.008 0.005  0.008 0.007 		 0.000122 0.000083  0.000150 0.000071  0.000106 0.000056 -0.000086 0.000041 		   0.014723    0.015722
58357.5  0.000 0.025  0.012 0.019  0.015 0.027 		-0.000161 0.000097 -0.000061 0.000082 -0.000051 0.000064 -0.000032 0.000042 		  -0.558885 -151.447223
58358.5  0.024 0.006  0.018 0.005  0.004 0.006 		 0.000248 0.000077  0.000092 0.000067 -0.000027 0.000054 -0.000065 0.000042 		  -0.001124   -0.002256
58359.5  0.012 0.006  0.011 0.005 -0.000 0.006 		-0.000227 0.000112 -0.000069 0.000096 -0.000071 0.000076 -0.000065 0.000058 		  -0.006094   -0.007213
58360.5  0.020 0.006  0.027 0.005  0.017 0.006 		 0.000825 0.000109  0.000227 0.000086  0.000072 0.000067  0.000002 0.000050 		   0.003648    0.003562
58361.5  0.026 0.006  0.021 0.005  0.012 0.006 		-0.000109 0.000112  0.000044 0.000096 -0.000012 0.000075  0.000063 0.000055 		  -0.000449   -0.002845
58362.5  0.032 0.007  0.016 0.005  0.008 0.005 		 0.000191 0.000109  0.000040 0.000091 -0.000102 0.000072  0.000026 0.000054 		  -0.003232   -0.002361
58363.5  0.034 0.006  0.026 0.005  0.014 0.006 		-0.000116 0.000099  0.000035 0.000081  0.000132 0.000064  0.000084 0.000051 		   0.003843    0.002008
58364.5  0.037 0.007  0.022 0.005  0.005 0.006 		-0.000187 0.000117  0.000028 0.000098  0.000001 0.000080  0.000017 0.000060 		   0.000018    0.002149
58365.5  0.050 0.007  0.034 0.005  0.010 0.006 		 0.000154 0.000120  0.000055 0.000098  0.000145 0.000075  0.000085 0.000058 		   0.002924    0.001572
58366.5  0.034 0.007  0.043 0.005  0.013 0.006 		-0.000237 0.000121 -0.000104 0.000101 -0.000075 0.000080 -0.000060 0.000062 		  -0.002186   -0.002375
58367.5  0.046 0.007  0.031 0.005  0.016 0.006 		-0.000658 0.000108  0.000003 0.000092 -0.000068 0.000073 -0.000050 0.000055 		  -0.001457   -0.001590
58368.5  0.036 0.007  0.013 0.005  0.010 0.006 		 0.000569 0.000123  0.000264 0.000098  0.000188 0.000077  0.000056 0.000059 		   0.005276    0.002417
58369.5  0.021 0.007  0.017 0.005  0.007 0.006 		 0.000530 0.000129 -0.000018 0.000098 -0.000020 0.000076  0.000092 0.000057 		  -0.000944   -0.003616
58370.5  0.021 0.007  0.011 0.005  0.001 0.007 		 0.000717 0.000145  0.000159 0.000111 -0.000009 0.000086 -0.000042 0.000065 		  -0.000435   -0.004067
58371.5  0.005 0.006  0.007 0.005  0.004 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58372.5  0.040 0.008  0.032 0.006 -0.001 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58373.5  0.038 0.009  0.039 0.007  0.016 0.009 		 0.000446 0.000127 -0.000242 0.000158  0.000030 0.000100 -0.000037 0.000068 		   0.000796    0.002674
58374.5  0.028 0.011  0.027 0.009 -0.010 0.011 		-0.000025 0.000084  0.000027 0.000111 -0.000046 0.000069 -0.000067 0.000049 		  -0.001644   -0.002556
58375.5  0.023 0.013  0.021 0.010  0.029 0.013 		-0.000966 0.000217 -0.000234 0.000209 -0.000247 0.000125 -0.000020 0.000083 		  -0.010605   -0.007910
58376.5  0.021 0.016  0.015 0.012 -0.030 0.014 		-0.000405 0.000174 -0.000203 0.000149  0.000051 0.000117  0.000002 0.000081 		   0.002438    0.005913
58377.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.001033 0.000595  0.000266 0.000462 -0.000262 0.000358  0.000077 0.000240 		-100.000000    0.000000
58378.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000843 0.000170  0.000084 0.000124 -0.000070 0.000098 -0.000134 0.000070 		-100.000000    0.000000
58379.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
58380.5  0.075 0.052  0.094 0.045  0.051 0.051 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58381.5  0.036 0.027  0.019 0.017  0.021 0.020 		-0.000007 0.000412 -0.000137 0.000389  0.000222 0.000322  0.000358 0.000229 		   0.006122    0.010016
58382.5  0.012 0.014  0.009 0.011  0.006 0.013 		 0.000825 0.000265 -0.000148 0.000221  0.000063 0.000173 -0.000035 0.000133 		   0.005284    0.015728
58383.5  0.028 0.014 -0.001 0.009  0.018 0.013 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58384.5  0.011 0.009  0.022 0.009  0.005 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58385.5  0.005 0.011  0.029 0.010  0.012 0.012 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58386.5  0.007 0.008  0.011 0.007  0.007 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
58387.5  0.036 0.009  0.027 0.007  0.026 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
