#MJD GSC_ch1 GSC_ch1_e GSC_ch2 GSC_ch2_e GSC_ch3 GSC_ch3_e BAT_ch1 BAT_ch1_e	BAT_ch2 BAT_ch2_e BAT_ch3 BAT_ch3_e BAT_ch4 BAT_ch4_e HR HR_e
55107.5  0.008 0.005  0.010 0.004 -0.002 0.005 		-0.000029 0.000061  0.000009 0.000057  0.000036 0.000047 -0.000013 0.000034 		   0.004484    0.006686
55108.5  0.011 0.006  0.010 0.005  0.003 0.006 		 0.000080 0.000084 -0.000052 0.000077 -0.000017 0.000061 -0.000042 0.000044 		  -0.001640   -0.005826
55109.5  0.019 0.009  0.005 0.007  0.001 0.009 		 0.000121 0.000069  0.000118 0.000068  0.000006 0.000057 -0.000064 0.000042 		   0.000329    0.002919
55110.5  0.022 0.010  0.013 0.009 -0.006 0.009 		 0.000007 0.000066  0.000034 0.000065  0.000040 0.000055  0.000002 0.000044 		   0.001823    0.002631
55111.5 -0.012 0.007  0.021 0.010 -0.001 0.012 		 0.000397 0.000123  0.000157 0.000113 -0.000093 0.000093 -0.000064 0.000072 		   0.007808    0.008994
55112.5  0.016 0.006  0.012 0.005  0.005 0.006 		 0.000093 0.000082 -0.000018 0.000078 -0.000133 0.000063  0.000025 0.000048 		  -0.008366   -0.004985
55113.5  0.009 0.005  0.007 0.005 -0.001 0.005 		 0.000081 0.000058 -0.000039 0.000055  0.000021 0.000046  0.000006 0.000036 		   0.002207    0.005054
55114.5 -0.002 0.005  0.014 0.005  0.005 0.006 		-0.000174 0.000066  0.000010 0.000059 -0.000018 0.000048  0.000059 0.000037 		   0.008633    0.030669
55115.5  0.022 0.006  0.018 0.005 -0.005 0.006 		 0.000116 0.000048 -0.000031 0.000044  0.000040 0.000037  0.000046 0.000029 		   0.001869    0.001791
55116.5  0.009 0.007  0.006 0.006 -0.009 0.007 		 0.000165 0.000062  0.000173 0.000059  0.000042 0.000050  0.000118 0.000040 		   0.004640    0.006554
55117.5  0.037 0.022  0.015 0.017 -0.012 0.018 		 0.000102 0.000082  0.000140 0.000078 -0.000121 0.000064 -0.000017 0.000049 		  -0.003244   -0.002597
55118.5  0.002 0.008  0.006 0.007  0.014 0.009 		-0.000079 0.000074  0.000071 0.000071  0.000125 0.000058 -0.000003 0.000042 		   0.062854    0.242316
55119.5  0.013 0.010  0.016 0.008  0.012 0.010 		-0.000146 0.000077  0.000085 0.000072  0.000022 0.000059  0.000175 0.000043 		   0.001633    0.004611
55120.5  0.014 0.004  0.018 0.004  0.008 0.005 		-0.000199 0.000074  0.000240 0.000066 -0.000056 0.000054  0.000039 0.000039 		  -0.004106   -0.004170
55121.5  0.013 0.005  0.011 0.004  0.005 0.005 		-0.000191 0.000074  0.000064 0.000068  0.000107 0.000055 -0.000069 0.000040 		   0.008159    0.005156
55122.5  0.011 0.005  0.009 0.004  0.001 0.005 		-0.000073 0.000075 -0.000117 0.000071 -0.000111 0.000059  0.000092 0.000045 		  -0.009794   -0.006737
55123.5  0.010 0.005  0.015 0.004  0.006 0.005 		 0.000028 0.000068  0.000102 0.000063  0.000065 0.000052 -0.000023 0.000037 		   0.006401    0.005865
55124.5  0.001 0.007  0.006 0.006  0.018 0.009 		 0.000136 0.000095  0.000211 0.000087 -0.000135 0.000071 -0.000052 0.000050 		  -0.135956   -0.897514
55125.5  0.018 0.007  0.018 0.006  0.008 0.007 		 0.000034 0.000081 -0.000014 0.000074  0.000063 0.000061 -0.000081 0.000045 		   0.003573    0.003676
55126.5  0.003 0.004  0.005 0.003  0.006 0.004 		 0.000114 0.000101  0.000106 0.000094  0.000026 0.000075 -0.000123 0.000054 		   0.008329    0.027154
55127.5  0.012 0.004  0.011 0.004 -0.002 0.004 		 0.000914 0.000114  0.000049 0.000103  0.000017 0.000083  0.000008 0.000055 		   0.001409    0.006829
55128.5  0.009 0.004  0.006 0.003  0.001 0.004 		-0.001426 0.000236  0.000327 0.000212  0.000087 0.000168 -0.000001 0.000115 		   0.009648    0.019091
55129.5  0.007 0.004  0.005 0.003  0.003 0.004 		 0.000066 0.000083  0.000107 0.000077 -0.000016 0.000063  0.000043 0.000047 		  -0.002314   -0.009235
55130.5  0.013 0.006  0.016 0.005 -0.001 0.006 		 0.000228 0.000072  0.000154 0.000065  0.000097 0.000053  0.000089 0.000041 		   0.007331    0.005252
55131.5  0.008 0.004  0.006 0.003  0.003 0.004 		 0.000158 0.000063 -0.000062 0.000059  0.000082 0.000049 -0.000039 0.000038 		   0.009868    0.007648
55132.5  0.003 0.004  0.001 0.003  0.007 0.004 		-0.000034 0.000070 -0.000228 0.000063  0.000061 0.000052 -0.000015 0.000039 		   0.018475    0.026701
55133.5  0.007 0.004  0.007 0.003 -0.001 0.004 		 0.000111 0.000086 -0.000067 0.000080 -0.000035 0.000066  0.000060 0.000046 		  -0.005260   -0.010177
55134.5  0.011 0.004  0.005 0.003  0.003 0.004 		 0.000281 0.000066 -0.000063 0.000062 -0.000009 0.000050  0.000120 0.000037 		  -0.000792   -0.004526
55135.5  0.005 0.004  0.007 0.003 -0.003 0.004 		-0.000161 0.000090 -0.000026 0.000087 -0.000002 0.000072  0.000040 0.000059 		  -0.000405   -0.013436
55136.5  0.014 0.004  0.003 0.003  0.003 0.004 		 0.000091 0.000097  0.000082 0.000086  0.000097 0.000072  0.000001 0.000050 		   0.007175    0.005790
55137.5  0.001 0.005  0.011 0.004  0.004 0.005 		 0.000276 0.000077  0.000120 0.000074  0.000113 0.000061  0.000115 0.000048 		   0.102976    0.449504
55138.5  0.006 0.004  0.007 0.003  0.008 0.005 		 0.000373 0.000084  0.000136 0.000080  0.000196 0.000065  0.000080 0.000049 		   0.033414    0.025063
55139.5  0.009 0.006  0.006 0.004  0.013 0.006 		 0.000206 0.000123  0.000296 0.000118 -0.000059 0.000096 -0.000047 0.000070 		  -0.006380   -0.011114
55140.5  0.015 0.006  0.012 0.005  0.005 0.006 		-0.000012 0.000072  0.000018 0.000071  0.000052 0.000059 -0.000024 0.000047 		   0.003586    0.004328
55141.5  0.010 0.009  0.004 0.007  0.004 0.009 		-0.000432 0.000099 -0.000076 0.000092 -0.000141 0.000077 -0.000058 0.000058 		  -0.013946   -0.014332
55142.5 -0.003 0.007  0.007 0.006  0.007 0.009 		 0.000192 0.000169 -0.000068 0.000163 -0.000081 0.000138  0.000081 0.000111 		   0.028363    0.081965
55143.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000181 0.000089 -0.000161 0.000085 -0.000028 0.000071 -0.000017 0.000053 		-100.000000    0.000000
55144.5  0.012 0.009  0.011 0.008 -0.012 0.011 		 0.000047 0.000118 -0.000162 0.000115 -0.000162 0.000094 -0.000030 0.000061 		  -0.013581   -0.012986
55145.5  0.015 0.009  0.015 0.008 -0.002 0.011 		 0.000277 0.000206 -0.000089 0.000196 -0.000153 0.000157 -0.000122 0.000095 		  -0.010336   -0.012398
55146.5  0.017 0.009  0.013 0.008  0.021 0.010 		 0.000098 0.000137 -0.000080 0.000130  0.000081 0.000105  0.000035 0.000066 		   0.004716    0.006573
55147.5  0.008 0.010  0.019 0.009  0.006 0.012 		 0.000251 0.000119  0.000166 0.000112  0.000149 0.000090  0.000014 0.000057 		   0.019383    0.028884
55148.5 -0.014 0.009  0.013 0.010  0.032 0.012 		 0.000023 0.000150  0.000228 0.000145  0.000032 0.000120  0.000143 0.000079 		  -0.002232   -0.008552
55149.5  0.029 0.012  0.023 0.010 -0.001 0.010 		 0.000336 0.000120  0.000464 0.000117  0.000007 0.000096  0.000018 0.000065 		   0.000250    0.003288
55150.5  0.016 0.017 -0.003 0.012  0.036 0.018 		 0.000522 0.000147 -0.000038 0.000143  0.000080 0.000115 -0.000051 0.000071 		   0.005187    0.009323
55151.5  0.043 0.014  0.028 0.010  0.008 0.012 		 0.000151 0.000090 -0.000007 0.000088  0.000026 0.000071  0.000039 0.000050 		   0.000601    0.001654
55152.5 -0.006 0.010  0.030 0.009 -0.001 0.012 		 0.000525 0.000163 -0.000026 0.000158  0.000098 0.000130  0.000108 0.000082 		  -0.016225   -0.035395
55153.5  0.022 0.013  0.007 0.010  0.029 0.013 		-0.000220 0.000158  0.000264 0.000154 -0.000037 0.000126 -0.000135 0.000079 		  -0.001702   -0.005868
55154.5  0.009 0.033 -0.016 0.018 -0.036 0.027 		-0.000465 0.000655 -0.000164 0.000592 -0.000331 0.000459 -0.000030 0.000266 		  -0.036871   -0.144075
55155.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.001549 0.000769  0.000842 0.000707 -0.001178 0.000540  0.000080 0.000297 		-100.000000    0.000000
55156.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.001412 0.000640  0.001324 0.000596  0.000332 0.000460 -0.000210 0.000256 		-100.000000    0.000000
55157.5  0.040 0.034 -0.012 0.032 -0.021 0.040 		 0.000406 0.000907  0.000532 0.000852 -0.001135 0.000698  0.000005 0.000403 		  -0.028556   -0.029914
55158.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000146 0.000691 -0.000306 0.000648 -0.000552 0.000505  0.000048 0.000283 		-100.000000    0.000000
55159.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000817 0.000672  0.001240 0.000637  0.000562 0.000515  0.000011 0.000325 		-100.000000    0.000000
55160.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000603 0.001121 -0.001152 0.000978 -0.000932 0.000741 -0.000198 0.000425 		-100.000000    0.000000
55161.5 -0.036 0.016 -0.046 0.017 -0.016 0.021 		 0.001754 0.000583  0.000182 0.000547 -0.000157 0.000443  0.000289 0.000261 		   0.004351    0.012393
55162.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000244 0.000400 -0.000287 0.000392  0.000437 0.000293 -0.000364 0.000180 		-100.000000    0.000000
55163.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000643 0.000328 -0.000225 0.000322 -0.000585 0.000248 -0.000138 0.000170 		-100.000000    0.000000
55164.5  0.040 0.010  0.018 0.008  0.014 0.008 		-0.000617 0.000585 -0.000010 0.000536 -0.000037 0.000411  0.000076 0.000249 		  -0.000911   -0.010162
55165.5  0.032 0.007  0.035 0.006  0.019 0.006 		-0.000011 0.000743 -0.000716 0.000743  0.000034 0.000571 -0.000173 0.000352 		   0.001056    0.017755
55166.5  0.034 0.015  0.041 0.011  0.045 0.013 		 0.000328 0.000375 -0.000056 0.000368 -0.000049 0.000279  0.000456 0.000187 		  -0.001444   -0.008182
55167.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000294 0.000535 -0.000048 0.000531  0.000384 0.000401 -0.000221 0.000262 		-100.000000    0.000000
55168.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000131 0.000232  0.000056 0.000223  0.000461 0.000172 -0.000024 0.000099 		-100.000000    0.000000
55169.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000613 0.000731 -0.001868 0.000786  0.001384 0.000578  0.000654 0.000399 		-100.000000    0.000000
55170.5  0.017 0.022 -0.009 0.016  0.001 0.025 		 0.000552 0.000641 -0.000125 0.000635  0.000641 0.000485  0.000250 0.000322 		   0.038401    0.058534
55171.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.002179 0.000663  0.001227 0.000661  0.000463 0.000500  0.000379 0.000349 		-100.000000    0.000000
55172.5  0.002 0.007  0.014 0.006  0.022 0.008 		-0.000289 0.001164  0.001323 0.001163  0.000400 0.000961 -0.000481 0.000739 		   0.201008    0.854584
55173.5  0.008 0.005  0.006 0.004  0.010 0.005 		 0.000165 0.001815 -0.000380 0.001888 -0.000901 0.001529  0.001331 0.001127 		  -0.108477   -0.194145
55174.5  0.007 0.005  0.009 0.004  0.006 0.005 		 0.000361 0.000369  0.000236 0.000365  0.000302 0.000293  0.000199 0.000177 		   0.045179    0.053999
55175.5  0.004 0.005  0.003 0.004  0.010 0.005 		 0.003870 0.002390  0.000091 0.002683  0.002053 0.002245 -0.000926 0.001683 		   0.478376    0.747942
55176.5  0.006 0.005  0.010 0.004  0.020 0.005 		-0.002539 0.001588  0.000415 0.001762  0.000802 0.001487 -0.001041 0.001059 		   0.124815    0.251468
55177.5  0.013 0.005  0.020 0.004  0.001 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
55178.5  0.018 0.006  0.018 0.004  0.000 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
55179.5  0.004 0.005  0.021 0.004  0.005 0.005 		 0.001953 0.000814  0.001592 0.000789  0.000345 0.000632 -0.000282 0.000358 		   0.079350    0.175435
55180.5  0.028 0.006  0.019 0.004  0.005 0.004 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
55181.5  0.010 0.009  0.019 0.008  0.005 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
55182.5  0.034 0.006  0.020 0.004  0.004 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
